date,year,quarter,mapped_sector,ERI_Score_V1,Score_Res_V1,Score_Abs_V1,Score_Rec_V1,ERI_Score_V2,Score_Res_V2,Score_Abs_V2,Score_Rec_V2
2022-09-30,2022,3,Finance & Insurance,0.7652825540695813,0.7863686368300123,0.9366608574410443,0.5657894736842104,0.8374964701427628,0.7201449275362319,0.9536135400987297,0.5757894736842104
2022-12-31,2022,4,Finance & Insurance,0.7347348996312821,0.7682109367463149,0.8853613988986614,0.5394736842105261,0.8347551263509051,0.7491304347826087,0.9391903784326565,0.5494736842105261
2023-03-31,2023,1,Finance & Insurance,0.7292451870999206,0.7651161527019189,0.8843466305901593,0.5263157894736841,0.8451504706161672,0.7836159514229956,0.93896810707273,0.5363157894736841
2023-06-30,2023,2,Finance & Insurance,0.7257735422089051,0.7632787021663139,0.8883823097377564,0.513157894736842,0.8550431540850201,0.8118145749104733,0.9495149069600501,0.523157894736842
2023-09-30,2023,3,Finance & Insurance,0.7224352850229789,0.7626693799283998,0.8912251101720633,0.4999999999999999,0.8589483002918378,0.836086956521739,0.948860851703794,0.5099999999999999
2023-12-31,2023,4,Finance & Insurance,0.7165968806418814,0.7632787021663139,0.8841092273213617,0.4868421052631578,0.8555502432246708,0.8576536518722562,0.9307873928617545,0.4968421052631578
2024-03-31,2024,1,Finance & Insurance,0.7186797454791658,0.7773073893354372,0.8822156149394436,0.4769736842105262,0.8540789641649298,0.8674009517814896,0.9308252019110922,0.4869736842105262
2024-06-30,2024,2,Finance & Insurance,0.7218756887541721,0.7930650629577289,0.8817269487457068,0.4671052631578947,0.8521516069042271,0.8769742047051752,0.9302088513521878,0.4771052631578947
2024-09-30,2024,3,Finance & Insurance,0.7269069446746056,0.8109836493307123,0.8844747743691389,0.45723684210526305,0.8514670162582519,0.8863329843052463,0.9343438705399538,0.46723684210526306
2024-12-31,2024,4,Finance & Insurance,0.7331356668324723,0.8317521566273793,0.8874142595524371,0.4473684210526315,0.8510723731687277,0.8954247224576675,0.9403487700078698,0.45736842105263154
2019-12-31,2019,4,Information & Communications,0.7549342093605913,0.9364082925447285,0.8600082376335612,0.4078947368421052,0.829082926305457,0.937536231884058,0.8979162074183122,0.4178947368421052
2020-03-31,2020,1,Information & Communications,0.7223080125138351,0.899452682071116,0.8136862901793661,0.39473684210526305,0.7721874904063531,0.8836551030857775,0.819156906099756,0.40473684210526306
2020-06-30,2020,2,Information & Communications,0.6674520482130343,0.875108365863456,0.6764500588570852,0.38157894736842096,0.6228825561343899,0.8532369010667831,0.487257382574214,0.39157894736842097
2020-09-30,2020,3,Information & Communications,0.6562550040700098,0.8567925397861911,0.6767055745535324,0.36842105263157887,0.6087469634908499,0.8336880426000517,0.4884008142195242,0.3784210526315789
2020-12-31,2020,4,Information & Communications,0.639834334007166,0.8423893014625213,0.6543322201791215,0.3552631578947368,0.5449925981096029,0.8215942028985508,0.38274700534451334,0.3652631578947368
2021-03-31,2021,1,Information & Communications,0.6359000229681068,0.8241961599421468,0.6523174773392479,0.36842105263157887,0.5422631469715288,0.8071014492753623,0.3732737906038994,0.3784210526315789
2021-06-30,2021,2,Information & Communications,0.6335047682097074,0.8092248776341855,0.6511371098183562,0.381578947368421,0.5917770940385522,0.792608695652174,0.46750792975513955,0.391578947368421
2021-09-30,2021,3,Information & Communications,0.6330955737543073,0.7967621991427658,0.6532321382187403,0.39473684210526305,0.5957777198723161,0.7781159420289856,0.47213482488207736,0.40473684210526306
2021-12-31,2021,4,Information & Communications,0.6297909670661418,0.7863686368300125,0.6429169709383507,0.4078947368421052,0.5935252062837348,0.7636231884057971,0.4640781723528282,0.4178947368421052
2022-03-31,2022,1,Information & Communications,0.6292552791537688,0.7863686368300125,0.6411313445637739,0.4078947368421052,0.590940412721054,0.7636231884057971,0.45861407046962577,0.4178947368421052
