date,year,quarter,mapped_sector,ERI_Score_V1,Score_Res_V1,Score_Abs_V1,Score_Rec_V1,ERI_Score_V2,Score_Res_V2,Score_Abs_V2,Score_Rec_V2,Digital_Adoption
2022-03-31,2022,1,Admin & Support Services,0.6132730955342315,0.8440590144065124,0.8431737378352464,0.075657894736842,0.4381500154103109,0.8887526570416772,0.8315506860422739,0.085657894736842,
2022-06-30,2022,2,Admin & Support Services,0.6182237379839294,0.8323971986573353,0.839040756473493,0.1118421052631578,0.4969843147064723,0.8738529403764063,0.8280485280637648,0.1218421052631578,
2022-09-30,2022,3,Admin & Support Services,0.6300025593201881,0.8341840022240656,0.8397368789790661,0.1480263157894736,0.5622688797284547,0.9031108246537416,0.8478488773578716,0.1580263157894736,
2022-12-31,2022,4,Admin & Support Services,0.6573089043691015,0.8498989364147339,0.8736205730282369,0.1842105263157893,0.6069747570662692,0.912779653152183,0.8366488067269776,0.1942105263157894,
2023-03-31,2023,1,Admin & Support Services,0.6643212620110586,0.8551006843716811,0.8736120661377782,0.200657894736842,0.6155505068821296,0.9021791587241847,0.8140168327265376,0.210657894736842,
2023-06-30,2023,2,Admin & Support Services,0.6873224838964818,0.8637699129185199,0.9222764659390178,0.2171052631578946,0.6627386773131035,0.8938317424501347,0.936720421893658,0.2271052631578946,
2023-09-30,2023,3,Admin & Support Services,0.6976419443207306,0.8766354825752338,0.9230732060565098,0.2335526315789473,0.6786358880177783,0.8896468649072486,0.9386824319552196,0.2435526315789473,
2023-12-31,2023,4,Admin & Support Services,0.7065424809505686,0.8952320933242981,0.911498812069498,0.2499999999999999,0.6942951047850691,0.8940579710144927,0.930814726434534,0.2599999999999999,
2024-03-31,2024,1,Admin & Support Services,0.7100261622059616,0.9035771216900113,0.9021159573805588,0.2598684210526315,0.6989692050974671,0.8831884057971015,0.9287563354167264,0.2698684210526315,
2024-06-30,2024,2,Admin & Support Services,0.7190244640252327,0.9145981734298756,0.907547140072345,0.2697368421052631,0.7317308516757707,0.9408739709118156,0.9363382098219336,0.2797368421052631,
2024-09-30,2024,3,Admin & Support Services,0.7277422115615785,0.9295399699900674,0.9068154820606104,0.2796052631578947,0.7424798029538763,0.954813238363305,0.9240560040806436,0.2896052631578947,
2024-12-31,2024,4,Admin & Support Services,0.7351760057203066,0.9519291876078224,0.8918740847133992,0.2894736842105262,0.7588365491719709,0.9810144927536232,0.9166422798303216,0.2994736842105262,
2024-06-30,2024,2,Arts & Recreation,0.7017400351911545,0.8931843184150062,0.8587473418733136,0.2894736842105262,0.6573636851075751,0.8040192695137407,0.7998589944577116,0.2994736842105263,
2024-09-30,2024,3,Arts & Recreation,0.7557763337691814,0.9696567870533832,0.9138787298260936,0.3124999999999999,0.7944301851798433,0.9882608695652174,0.9600241617043428,0.3224999999999999,
2024-12-31,2024,4,Arts & Recreation,0.7613330501261389,0.9759645938039114,0.920701234997704,0.3157894736842104,0.803627833653728,0.9955072463768116,0.9725153792291008,0.3257894736842104,
2019-12-31,2019,4,Construction,0.6458494742343354,0.9519291876078227,0.6467505587075295,0.2368421052631578,0.5839393117432076,0.9520289855072464,0.560241812850877,0.2468421052631578,
2020-03-31,2020,1,Construction,0.5706346080273245,0.7917172216163072,0.6524134505675843,0.194078947368421,0.4728639062493053,0.7218027481834162,0.5603190822061649,0.204078947368421,
2020-06-30,2020,2,Construction,0.5281066303223927,0.7200881132287097,0.648922160629345,0.1513157894736841,0.3459370040535704,0.481014492753623,0.5580224346046008,0.1613157894736841,
2020-09-30,2020,3,Construction,0.4936402320723315,0.6725589384974093,0.6401695573322785,0.1085526315789473,0.3073005874946621,0.5281159420289854,0.5071613793622095,0.1185526315789473,
2020-12-31,2020,4,Construction,0.4227211549568426,0.6394689070586703,0.4906558334270375,0.0657894736842104,0.0133805492869523,0.5752173913043478,0.0186338743750065,0.0757894736842104,
2021-03-31,2021,1,Construction,0.4121923348429649,0.5931026854229043,0.4877761320705722,0.0953947368421052,0.1608520635009893,0.5426086956521738,0.1441397592996418,0.1053947368421052,
2021-06-30,2021,2,Construction,0.4063324209711483,0.554776943329929,0.4897388121305891,0.1249999999999999,0.0244178075942775,0.5099999999999999,0.0155946224085046,0.1349999999999999,
2021-09-30,2021,3,Construction,0.4032523722400009,0.5225514627530654,0.4928340273046879,0.1546052631578947,0.1984467724588211,0.4773913043478259,0.1630637508509019,0.1646052631578947,
2021-12-31,2021,4,Construction,0.3899427937889274,0.4952564698821385,0.4552568264711172,0.1842105263157893,0.1773984481279122,0.4447826086956521,0.1222280977437438,0.1942105263157894,
2022-03-31,2022,1,Construction,0.3814981716894738,0.4887177004506544,0.4226685506447422,0.1973684210526315,0.2588187319247292,0.4302898550724636,0.2587970241599651,0.2073684210526315,
2022-06-30,2022,2,Construction,0.3725483836499618,0.4828197144920525,0.3875420103876622,0.2105263157894736,0.2458225492764109,0.4157971014492753,0.2277876787262206,0.2205263157894736,
2022-09-30,2022,3,Construction,0.3606125114293261,0.4775408103471752,0.3416364137752042,0.2236842105263157,0.2255978861937452,0.4013043478260869,0.1879119979109864,0.2336842105263157,
2022-12-31,2022,4,Construction,0.2601975870630413,0.4728623887102349,0.0,0.2368421052631578,0.1690101463916938,0.3868115942028984,0.1058071871581025,0.2468421052631578,
2023-03-31,2023,1,Construction,0.2976419622193827,0.5207399370151209,0.0050568001497113,0.2927631578947368,0.043073276221574,0.3252173913043478,0.0183116030045246,0.3027631578947368,
2023-06-30,2023,2,Construction,0.3450202551921413,0.5863919308171982,0.0195273990245576,0.3486842105263157,0.0479372378570657,0.4822070221846334,0.01,0.3586842105263157,
2023-09-30,2023,3,Construction,0.4058795196967579,0.68059689732433,0.0408639393988581,0.4046052631578947,0.2793101137947238,0.6016391802263175,0.0980294736612775,0.4146052631578947,
2023-12-31,2023,4,Construction,0.5562587058367022,0.849898936414734,0.2604707884465549,0.4605263157894735,0.6868292714829861,0.912779653152183,0.4854720535690715,0.4705263157894735,
2024-03-31,2024,1,Construction,0.5514719499378062,0.8581223747624782,0.2565766667760497,0.4374999999999999,0.6777016919380519,0.930757851679593,0.4791782404771606,0.4474999999999999,
2024-06-30,2024,2,Construction,0.5555043375175006,0.8736711305889338,0.2723126000625643,0.4144736842105262,0.6925091980676803,0.9302898550724638,0.5368615381976898,0.4244736842105262,
2024-09-30,2024,3,Construction,0.566754824728281,0.8999025604705764,0.2978653000457822,0.3914473684210525,0.7082141126692498,0.9556521739130436,0.583067010089948,0.4014473684210525,
2024-12-31,2024,4,Construction,0.5803021380022018,0.9519291876078226,0.2966804905653298,0.3684210526315788,0.7036773276429087,0.9810144927536232,0.5866736473512442,0.3784210526315789,
2019-12-31,2019,4,Education & Health,0.768865464544353,0.9759645938039112,0.945809283058418,0.3157894736842104,0.8051323754572723,0.9955072463768116,0.9777200533409228,0.3257894736842104,
2020-03-31,2020,1,Education & Health,0.7539313603682217,0.9471016256137352,0.9443813144441796,0.3059210526315788,0.7836563334559741,0.9624823295340434,0.976480436010726,0.3159210526315789,
2020-06-30,2020,2,Education & Health,0.742766296838501,0.9314885513073604,0.9378502894729088,0.2960526315789473,0.7431025144805327,0.8868115942028986,0.9672040207219268,0.3060526315789473,
2020-09-30,2020,3,Education & Health,0.7358139253949912,0.9208517686945864,0.9387265158642064,0.2861842105263157,0.7372792921117285,0.8976811594202898,0.9617634408116592,0.2961842105263157,
2020-12-31,2020,4,Education & Health,0.7295292768268472,0.9133391105333976,0.93766298590461,0.2763157894736841,0.7324606130280358,0.9085507246376812,0.9611655479836884,0.2863157894736841,
2021-03-31,2021,1,Education & Health,0.7285317382444225,0.9081805013351388,0.9379265292099952,0.2796052631578947,0.7323915854710957,0.904927536231884,0.9550711088421688,0.2896052631578947,
2021-06-30,2021,2,Education & Health,0.7277161575849105,0.9034835526448886,0.9381810515810785,0.2828947368421052,0.7319056418448303,0.9013043478260868,0.94763843444892,0.2928947368421052,
2021-09-30,2021,3,Education & Health,0.7267704778528675,0.8991837186358307,0.9374724241354684,0.2861842105263157,0.7331888691958264,0.8976811594202898,0.9468158736280295,0.2961842105263157,
2021-12-31,2021,4,Education & Health,0.7186896365415014,0.8952320933242983,0.9125156464954142,0.2894736842105262,0.7341929955958612,0.8940579710144927,0.9451126780104184,0.2994736842105263,
2022-03-31,2022,1,Education & Health,0.7195376726454017,0.8936076878241603,0.9142188338243884,0.2927631578947368,0.7368166297324356,0.8904347826086957,0.9494074146726632,0.3027631578947368,
2022-06-30,2022,2,Education & Health,0.7193406895158029,0.8921750139619954,0.9121829815244016,0.2960526315789473,0.7364563781528363,0.8868115942028986,0.9430231781425532,0.3060526315789473,
2022-09-30,2022,3,Education & Health,0.7199867598438665,0.8909265163243958,0.9127117391172028,0.2993421052631578,0.7389775787019611,0.8831884057971015,0.9471770520665423,0.3093421052631578,
2022-12-31,2022,4,Education & Health,0.71858476560493,0.8898559317474132,0.9061763974058472,0.3026315789473683,0.7391450872639184,0.8795652173913043,0.9429640555776908,0.3126315789473683,
2023-03-31,2023,1,Education & Health,0.72702685035475,0.899452682071116,0.908363118070135,0.3157894736842104,0.7446370262825037,0.865072463768116,0.944660922850306,0.3257894736842104,
2023-06-30,2023,2,Education & Health,0.7391833257026892,0.9133391105333976,0.9172115698767148,0.3289473684210525,0.7524688752738387,0.8505797101449275,0.956517341380554,0.3389473684210525,
2023-09-30,2023,3,Education & Health,0.7512207706606939,0.934176329238014,0.9163955333937333,0.3421052631578946,0.8027016559261423,0.9485124538098654,0.95660809526187,0.3521052631578946,
2023-12-31,2023,4,Education & Health,0.7629823607763357,0.9759645938039114,0.8867252529545006,0.3552631578947368,0.8262847724245946,0.9955072463768116,0.9391787215794783,0.3652631578947368,
2024-03-31,2024,1,Education & Health,0.7595294098528694,0.9718159879960272,0.8873258383218794,0.3486842105263157,0.8190813506916144,0.9917636849389596,0.9374264345216214,0.3586842105263157,
2024-06-30,2024,2,Education & Health,0.7566383017835032,0.9705627595295268,0.88593873008108,0.3421052631578947,0.8132168939617995,0.9905559306304366,0.937041715717836,0.3521052631578947,
2024-09-30,2024,3,Education & Health,0.7563510942890099,0.9718159879960272,0.8898893478458568,0.3355263157894736,0.8025240414646975,0.973768115942029,0.9406641426098477,0.3455263157894736,
2024-12-31,2024,4,Education & Health,0.75352384075091,0.9759645938039114,0.8815126423434323,0.3289473684210525,0.7984742387849816,0.9810144927536232,0.9358901522548404,0.3389473684210525,
2019-12-31,2019,4,Finance & Insurance,0.8425653163118934,0.9519291876078226,0.9472068744046532,0.5921052631578947,0.9772463088687656,0.9520289855072464,0.9832357512276602,0.6021052631578947,
2020-03-31,2020,1,Finance & Insurance,0.8423747582176159,0.9528774230150936,0.9485968405649106,0.5888157894736841,0.9798545841443408,0.9611473803168604,0.9838009496552697,0.5988157894736841,
2020-06-30,2020,2,Finance & Insurance,0.840276585719262,0.9542379499758284,0.9430783699736284,0.5855263157894737,0.978025908139814,0.9683727344453764,0.974062329497408,0.5955263157894737,
2020-09-30,2020,3,Finance & Insurance,0.8394299070044866,0.9560490399855366,0.941130794595644,0.582236842105263,0.9773207050711044,0.974315732602188,0.9694648777386838,0.5922368421052631,
2020-12-31,2020,4,Finance & Insurance,0.8393816673419103,0.9583694552878186,0.9411655823348904,0.5789473684210524,0.978993549696476,0.9792562269049326,0.973189142503892,0.5889473684210524,
2021-03-31,2021,1,Finance & Insurance,0.8338601714120004,0.9326847694370556,0.940559475281822,0.5953947368421052,0.9815783374270716,0.9674151487120566,0.9696926524129642,0.6053947368421052,
2021-06-30,2021,2,Finance & Insurance,0.8334939113635387,0.9198319212217412,0.9400283709863164,0.6118421052631577,0.9848332528761112,0.9552910548168786,0.9694123322029826,0.6218421052631578,
2021-09-30,2021,3,Finance & Insurance,0.835024813873983,0.9138614835233552,0.9366445945312594,0.6282894736842104,0.9942894544349444,0.9607193097509584,0.9639633193601276,0.6382894736842104,
2021-12-31,2021,4,Finance & Insurance,0.8394710431223328,0.9133391105333976,0.935714487591316,0.644736842105263,1.0,0.9548132383633052,0.9635687454960564,0.6547368421052631,
2022-03-31,2022,1,Finance & Insurance,0.8061201632658894,0.849898936414734,0.9354475763684073,0.6184210526315788,0.9338940454732056,0.8496600963949064,0.9603070949645516,0.6284210526315788,
2022-06-30,2022,2,Finance & Insurance,0.7833390067755747,0.8122774765467139,0.9359881240317358,0.5921052631578947,0.9078877474559588,0.8255373614295963,0.9594383253130736,0.6021052631578947,
2022-09-30,2022,3,Finance & Insurance,0.7652825540695813,0.7863686368300123,0.9366608574410444,0.5657894736842104,0.8374964701427628,0.7201449275362319,0.9536135400987296,0.5757894736842104,
2022-12-31,2022,4,Finance & Insurance,0.7347348996312821,0.7682109367463149,0.8853613988986614,0.5394736842105261,0.8347551263509051,0.7491304347826087,0.9391903784326564,0.5494736842105261,
2023-03-31,2023,1,Finance & Insurance,0.7292451870999206,0.7651161527019189,0.8843466305901593,0.5263157894736841,0.8451504706161672,0.7836159514229956,0.93896810707273,0.5363157894736841,
2023-06-30,2023,2,Finance & Insurance,0.7257735422089051,0.7632787021663139,0.8883823097377564,0.513157894736842,0.8550431540850201,0.8118145749104733,0.94951490696005,0.523157894736842,
2023-09-30,2023,3,Finance & Insurance,0.7224352850229789,0.7626693799283998,0.8912251101720633,0.4999999999999999,0.8589483002918378,0.836086956521739,0.948860851703794,0.5099999999999999,
2023-12-31,2023,4,Finance & Insurance,0.7165968806418814,0.7632787021663139,0.8841092273213617,0.4868421052631578,0.8555502432246708,0.8576536518722562,0.9307873928617544,0.4968421052631578,
2024-03-31,2024,1,Finance & Insurance,0.7186797454791658,0.7773073893354372,0.8822156149394436,0.4769736842105262,0.8540789641649298,0.8674009517814896,0.9308252019110922,0.4869736842105262,
2024-06-30,2024,2,Finance & Insurance,0.7218756887541721,0.7930650629577289,0.8817269487457068,0.4671052631578947,0.8521516069042271,0.8769742047051752,0.9302088513521878,0.4771052631578947,
2024-09-30,2024,3,Finance & Insurance,0.7269069446746056,0.8109836493307123,0.8844747743691389,0.457236842105263,0.8514670162582519,0.8863329843052463,0.9343438705399538,0.467236842105263,
2024-12-31,2024,4,Finance & Insurance,0.7331356668324723,0.8317521566273793,0.8874142595524371,0.4473684210526315,0.8510723731687277,0.8954247224576675,0.9403487700078698,0.4573684210526315,
2019-12-31,2019,4,Information & Communications,0.7549342093605913,0.9364082925447283,0.8600082376335612,0.4078947368421052,0.829082926305457,0.937536231884058,0.8979162074183122,0.4178947368421052,0.92
2020-03-31,2020,1,Information & Communications,0.7223080125138351,0.899452682071116,0.8136862901793661,0.394736842105263,0.7721874904063531,0.8836551030857775,0.819156906099756,0.404736842105263,0.91
2020-06-30,2020,2,Information & Communications,0.6674520482130343,0.875108365863456,0.6764500588570852,0.3815789473684209,0.6228825561343899,0.8532369010667831,0.487257382574214,0.3915789473684209,0.91
2020-09-30,2020,3,Information & Communications,0.6562550040700098,0.8567925397861911,0.6767055745535324,0.3684210526315788,0.6087469634908499,0.8336880426000517,0.4884008142195242,0.3784210526315789,0.91
2020-12-31,2020,4,Information & Communications,0.639834334007166,0.8423893014625213,0.6543322201791215,0.3552631578947368,0.5449925981096029,0.8215942028985508,0.3827470053445133,0.3652631578947368,0.91
2021-03-31,2021,1,Information & Communications,0.6359000229681068,0.8241961599421468,0.6523174773392479,0.3684210526315788,0.5422631469715288,0.8071014492753623,0.3732737906038994,0.3784210526315789,0.92
2021-06-30,2021,2,Information & Communications,0.6335047682097074,0.8092248776341855,0.6511371098183562,0.381578947368421,0.5917770940385522,0.792608695652174,0.4675079297551395,0.391578947368421,0.92
2021-09-30,2021,3,Information & Communications,0.6330955737543073,0.7967621991427658,0.6532321382187403,0.394736842105263,0.5957777198723161,0.7781159420289856,0.4721348248820773,0.404736842105263,0.92
2021-12-31,2021,4,Information & Communications,0.6297909670661418,0.7863686368300125,0.6429169709383507,0.4078947368421052,0.5935252062837348,0.7636231884057971,0.4640781723528282,0.4178947368421052,0.92
2022-03-31,2022,1,Information & Communications,0.6292552791537688,0.7863686368300125,0.6411313445637739,0.4078947368421052,0.590940412721054,0.7636231884057971,0.4586140704696257,0.4178947368421052,0.94
2022-06-30,2022,2,Information & Communications,0.626080574156911,0.7863686368300125,0.6305489945742481,0.4078947368421052,0.5823966265602197,0.7636231884057971,0.4408734181615534,0.4178947368421052,0.94
2022-09-30,2022,3,Information & Communications,0.6228472817607217,0.7863686368300125,0.6197713532536172,0.4078947368421052,0.5747590780448228,0.7636231884057971,0.4254261952687754,0.4178947368421052,0.94
2022-12-31,2022,4,Information & Communications,0.5840195468121985,0.7863686368300125,0.4903455700918731,0.4078947368421052,0.5387912016899593,0.7636231884057971,0.3577365912283731,0.4178947368421052,0.94
2023-03-31,2023,1,Information & Communications,0.6030795234852078,0.8009355358441413,0.5048510304918375,0.4374999999999999,0.6045160374637678,0.7310144927536232,0.4828429444299992,0.4474999999999999,0.94
2023-06-30,2023,2,Information & Communications,0.6487316286526473,0.8248133783719256,0.595582327855029,0.4671052631578947,0.7501967018319755,0.830003734081533,0.6961144817980195,0.4771052631578947,0.94
2023-09-30,2023,3,Information & Communications,0.6729206420164783,0.862779615751653,0.5959854594036007,0.4967105263157894,0.7756552724021198,0.8519940870884325,0.6957128050341663,0.5067105263157894,0.94
2023-12-31,2023,4,Information & Communications,0.7256769154437132,0.9364082925447283,0.6440628719457222,0.5263157894736841,0.8635628107663975,0.937536231884058,0.786575526490317,0.5363157894736841,0.94
2024-03-31,2024,1,Information & Communications,0.7179246385777422,0.9299253513487702,0.6400237653906049,0.513157894736842,0.8565254693802152,0.9411022358028712,0.7835989483925034,0.523157894736842,0.94
2024-06-30,2024,2,Information & Communications,0.7158193336265208,0.927893781411734,0.6488727368727575,0.4999999999999999,0.8576100432204384,0.9485124538098654,0.7983569028111026,0.5099999999999999,0.94
2024-09-30,2024,3,Information & Communications,0.7133613885775928,0.92992535134877,0.6511287215304581,0.4868421052631578,0.8533000055945651,0.9577456336889276,0.7973357173515007,0.4968421052631578,0.94
2024-12-31,2024,4,Information & Communications,0.7112567095705848,0.9364082925447283,0.6486270979826626,0.4736842105263157,0.8595160868870807,0.9677467253996715,0.8248158179950551,0.4836842105263157,0.94
2019-12-31,2019,4,Manufacturing,0.679898737792824,0.5433272822743159,0.9103138022419042,0.6315789473684209,0.7021498980786778,0.473768115942029,0.9077432328731492,0.6415789473684209,
2020-03-31,2020,1,Manufacturing,0.681146086720065,0.5538250699908291,0.910343002763322,0.6217105263157894,0.7058396443882202,0.4846376811594203,0.907663086679044,0.6317105263157894,
2020-06-30,2020,2,Manufacturing,0.679740743264788,0.5649491885423371,0.9006947875630191,0.6118421052631577,0.7063333718992676,0.4955072463768115,0.8969504351872355,0.6218421052631578,
2020-09-30,2020,3,Manufacturing,0.6727538503401851,0.5767490197780876,0.8715404572193073,0.6019736842105262,0.6844396001100097,0.5063768115942028,0.8109434261357227,0.6119736842105262,
2020-12-31,2020,4,Manufacturing,0.6131759601325483,0.5892827988807812,0.6661042054428915,0.5921052631578947,0.4947235079490154,0.5172463768115942,0.3331571678445957,0.6021052631578947,
2021-03-31,2021,1,Manufacturing,0.5992366063079216,0.5219468581106822,0.6666577891595311,0.6348684210526315,0.4849297243930475,0.4701449275362319,0.3353163862425949,0.6448684210526315,
2021-06-30,2021,2,Manufacturing,0.591811479982236,0.4687006216239867,0.6701391921614364,0.6776315789473684,0.4744917914709491,0.4230434782608695,0.3420787442685176,0.6876315789473684,
2021-09-30,2021,3,Manufacturing,0.5888794639854263,0.4256122491968735,0.6750538108468178,0.7203947368421052,0.4596116169351929,0.3759420289855071,0.3471428749514297,0.7303947368421052,
2021-12-31,2021,4,Manufacturing,0.5844294358566162,0.3905235173527549,0.6642422016482057,0.7631578947368419,0.4311888202460424,0.3288405797101449,0.3329907778587212,0.7731578947368419,
